lat, lon, z
61.30723762,6.961244765,875.4
61.30717174,6.960983751,877
61.30705909,6.960868499,877.8
61.30688667,6.960761882,878.2
61.30679296,6.960439766,880.2
61.30678416,6.960381261,880.6
61.30676145,6.9602355,881.6
61.30671241,6.959955377,883.6
61.30674158,6.959536029,886.6
61.30679003,6.959161274,889.4
61.3067757,6.95878962,891.6
61.30675977,6.958757936,891.6
61.30666179,6.95843976,891.8
61.3066068,6.958167013,891.8
61.30660345,6.95782193,891.2
61.30649541,6.957473494,891.6
61.30645325,6.957293869,891.6
61.30647269,6.956904867,890.8
61.30641016,6.956559027,890.8
61.30640304,6.95647873,890.8
61.3063975,6.95644428,890.8
61.30628737,6.956113447,891
61.30627152,6.956007247,891
61.30626608,6.955981012,891
61.30625099,6.955940611,891
61.3061525,6.955733159,891.4
61.30613004,6.955647078,891.4
61.30611713,6.955467871,892.2
61.30611294,6.955421689,892.4
61.30608528,6.955306353,893.2
61.30604488,6.955234939,893.8
61.30602577,6.955213398,894
61.30601998,6.955201746,894
61.30601286,6.955188671,894.2
61.30599098,6.955135111,894.6
61.3059847,6.95511139,894.8
61.30597992,6.955086999,895
61.30597305,6.955060764,895
61.30589736,6.954685421,897.4
61.30587422,6.954601937,898
61.3058464,6.954452656,898.8
61.30584111,6.954403707,899.2
61.3058355,6.954353582,899.4
61.30580264,6.954213269,900.4
61.30578185,6.954073124,901.2
61.30577926,6.954032053,901.4
61.30577532,6.953998188,901.6
61.30572452,6.953862318,902.6
61.30571103,6.953840525,902.8
61.30569887,6.953823594,903
61.3056832,6.953805154,903.2
61.30567071,6.95378135,903.4
61.30554129,6.953510195,905.4
61.30547139,6.953403242,906.4
61.30544281,6.953368959,906.8
61.30531004,6.953076264,909.2
61.30519831,6.952735623,911.6
61.30517769,6.95242323,913.2
61.30517844,6.952046548,915
61.30520736,6.95189668,915.6
61.30531146,6.951567689,916.4
61.30535312,6.95129645,917.4
61.30533912,6.951115234,918.4
61.30530056,6.950991768,919.2
61.30522119,6.950809212,920.6
61.30504718,6.950690524,922.4
61.30485976,6.950648278,923.8
61.3046819,6.950515256,925.8
61.30450923,6.950367484,927.6
61.30442348,6.950243766,928.8
61.30432558,6.950088871,930.2
61.30426967,6.950021731,931
61.30410656,6.949912935,932.6
